"מספר בספר החינוך","תת-מספר","שם","קבוצה","סוג (עשה/לא תעשה)","החייבים במצוה","תדירות","רצון","ארוע","עצם או אדם","זמן החיוב","מקום החיוב","העונש למפר במזיד","העונש למפר בשוגג","המקור ביד החזקה - הלכות","המקור ביד החזקה - מספר המצוה","הערות","טעמי המצוה"
161,0,"מצוות טומאת נבלה","טומאת בהמה מתה",1,"אדם מישראל","ארוע",,"מוות",,"בכל זמן","בכל מקום","אין","אין","אבות הטומאות","96",," מהמצוות שאין אנו יודעים טעמם ואל לנו לחקור בם, תשובה אפשרית היא ,שההרחקה מהטומאה שומרת על הנפש."
162,0,"לא לאכול שרץ הארץ","אכילת שרצים",0,"אדם מישראל","רצון","אכילה",,"חיות","בכל זמן","בכל מקום","מלקות","אין","מאכלות אסורים","176",,"שלא לאכל דבר המזיק לגופנו.צמוה זו מהמצוות שאין אנו יודעים טעמם ואל לנו לחקור בם, תשובה אפשרית היא ,שההרחקה מהטומאה שומרת על הנפש."
163,0,"שלא לאכול מיני שרצים דקים הנולדים בזרעים ובפירות","אכילת שרצים",0,"אדם מישראל","רצון","אכילה",,"חיות","בכל זמן","בכל מקום","מלקות","אין","מאכלות אסורים","178","לוקה על אכילת בריה שלמה"," מהמצוות שאין אנו יודעים טעמם ואל לנו לחקור בם, תשובה אפשרית היא ,שההרחקה מהטומאה שומרת על הנפש."
164,0,"לא לאכול משרץ המים","אכילת שרצים",0,"אדם מישראל","רצון","אכילה",,"חיות","בכל זמן","בכל מקום","מלקות","אין","מאכלות אסורים","179","לוקה על אכילתבריה שלמה"," מהמצוות שאין אנו יודעים טעמם ואל לנו לחקור בם, תשובה אפשרית היא ,שההרחקה מהטומאה שומרת על הנפש."
165,0,"לא לאכול מן השרצים","אכילת שרצים",0,"אדם מישראל","רצון","אכילה",,"חיות","בכל זמן","בכל מקום","מלקות","אין","מאכלות אסורים","177","לוקה על אכילת בריה שלמה","שלא לאכל דבר המזיק לגוף."
166,0,"מצוות טומאת יולדת","טומאת יולדת",1,"אישה מישראל","ארוע",,"לידת ילד",,"בכל זמן","בכל מקום","אין","אין","איסורי ביאה","100",,"הקב""ה הרחיק אותנו מן היולדת הנדה והזבה עד שיתנקו מאותו המותר שבהן שהוא דבר רע ומחליא."
167,0,"לא יאכל טמא מן הקודשים","אכילת זבח בטומאה",0,"אדם מישראל","ארוע","אכילה","טומאת אדם","בשר קודש","רק כשהמקדש קיים","בכל מקום","כרת","קרבן עולה ויורד","פסולי המקודשים","129",,"לקבוע בנפשותינו יראת המקדש וקודשיו."
168,0,"מצוות קורבן יולדת","קרבן יולדת",1,"אישה מישראל","ארוע",,"לידת ילד",,"רק כשהמקדש קיים","בכל מקום","אין","אין","מחוסרי כפרה","76",,"כדי שתתעורר מתוך הפעולה לתת הודאה לה' שהצילה מחבלי יולדה ועוד אמרו שהאשה מתוך ציריה נשבעת שלא תלד יותר וצריכה כפרה על זה."
169,0,"מצוות טומאת מצורע","צרעת הגוף",1,"אדם מישראל","ארוע",,"צרעת","גוף","רק כשהמקדש קיים","בכל מקום","אין","אין","טומאת צרעת","101",,"לדעת שהכל בהשגחת ה' וחולי רע שנגרם לנו הוא בגלל מעשנו כי בחטא לשון הרע יבוא ברוב."
170,0,"לא לגלח שיער הנתק","שער וצרעת",0,"אדם מישראל","ארוע",,"צרעת","שער","רק כשהמקדש קיים","בכל מקום","מלקות","אין","טומאת צרעת","307",,"שלא יחשוב אדם שיש ביכולתו להעלים מעני הבריות את הצרעת שדבקה בו אלא יתפלל אל ה' שירפאו מכל מכותיו."
171,1,"הנהגת המצורע וכל טמאי אדם בפריעת הראש","שיער הטמאים",1,"אדם מישראל","ארוע",,"טומאת אדם","שער","רק כשהמקדש קיים","בכל מקום","אין","אין","טומאת צרעת","112","נוהגת בכל זמן שיש כהן חכם לראות הנגעים","המצורע הבדיל בלשון הרע בין איש לאישתו ובין אדם לחברו לפיכך מחוץ למחנה אהלו ושידע שכל הרחקתו בגלל חטאו."
171,2,"הנהגת המצורע וכל טמאי אדם בפרימת הבגדים","בגדי הטמאים",1,"אדם מישראל","ארוע",,"טומאת אדם","בגד","רק כשהמקדש קיים","בכל מקום","אין","אין","טומאת צרעת","112","נוהגת בכל זמן שיש כהן חכם לראות הנגעים","המצורע הבדיל בלשון הרע בין איש לאישתו ובין אדם לחברו לפיכך מחוץ למחנה אהלו ושידע שכל הרחקתו בגלל חטאו."
172,0,"מצוות נגעי בגדים","צרעת הבגד",1,"אדם מישראל","ארוע",,"צרעת","בגד","רק כשהמקדש קיים","בכל מקום","אין","אין","טומאת צרעת","102",,"רצה ה' ללמדנו  לקח ומוסר ולהענישנ בהשתנות הכלים והם הבגדים מתוך כך ישוב מדרכו הרעה טרם יזרח הצרעת בגוף."
173,0,"מצוות היטהרות מן הצרעת שתהיה במינים ידועים","קרבן מצורע",1,"אדם מישראל","ארוע",,"צרעת","גוף","רק כשהמקדש קיים","בכל מקום","אין","אין","טומאת צרעת","110",,"המצורע ישפיל את עצמו כאזוב מפני שחטא בגאוות הלב כדי לטהר עצמו מהצרעת."
174,0,"מצוות תגלחת מצורע ביום השביעי","שער וצרעת",1,"אדם מישראל","ארוע",,"צרעת","שער","רק כשהמקדש קיים","בכל מקום","אין","אין","טומאת צרעת","111","נוהגת בכל זמן שיש כהן שראוי להורות בנגעים","שיראה אדם כאילו היום נברא והיום החל שערו לצמוח."
175,0,"מצוות טבילה לטמאים","טבילה",1,"אדם מישראל","ארוע",,"טומאת אדם",,"רק כשהמקדש קיים","בכל מקום","אין","אין","מקואות","109",,"טעם טהרת המים אינו ידוע, אפשר לפרש שרמז אל הטובל שינקה נפשו מכל חטא."
176,0,"מצוות קורבן מצורע כשיתרפא מצרעתו","קרבן מצורע",1,"אדם מישראל","ארוע",,"צרעת","גוף","רק כשהמקדש קיים","בירושלים","אין","אין","מחוסרי כפרה","77",,"להשפיל יצר הגוף החוטא ולהגדיל מעלת הנפש."
177,0,"מצוות טומאת בית שיהיה בו נגע","צרעת הבית",1,"אדם מישראל","ארוע",,"צרעת","בית","רק כשהמקדש קיים","רק בארץ ישראל","אין","אין","טומאת צרעת","103","נוהגת בכל זמן שיש כהן המבין בנגעים","מאהבת ה' הוא 'מעניש' את הבית במקום את האדם החוטא,"
178,0,"מצוות טומאת זב להיות טמא ומטמא","טומאת זב",1,"גבר מישראל","ארוע",,"זיבת איש",,"בכל זמן","בכל מקום","אין","אין","מחוסרי כפרה","104",,"הקב""ה הרחיקנו מן המותרות וצונו להיות קדושים גם בענין זה והודיענו התורה שאדם שיהיה בו כך נקרא טמא."
179,0,"מצוות קורבן זב כשיתרפא מזובו","קרבן זב",1,"גבר מישראל","ארוע",,"זיבת איש",,"רק כשהמקדש קיים","בכל מקום","אין","אין","מחוסרי כפרה","74",,"לרמז השפלת הגוף המתאוה ולעלות נפש השכל."
180,0,"מצוות טומאת שכבת זרע שהוא טמא ומטמא","טומאת שכבת זרע",1,"גבר מישראל","ארוע",,"טומאת אדם",,"בכל זמן","בכל מקום","אין","אין","אבות הטומאות","105",,"ענין זה לא יקרה רק מצד מחשבת התאוות הגופניות,אמרה התורה שהגוף נקרא טמא בהן."
181,0,"מצוות טומאת נידה שמטמאה אחרים","טומאת נידה",1,"אדם מישראל","ארוע",,"טומאת אדם",,"בכל זמן","בכל מקום","אין","אין","משכב ומושב","99",,"ה' ירחיק מעמו כל טומאה וכל לכלוך וכל נזק."
182,0,"מצוות טומאת זבה","טומאת זבה",1,"אישה מישראל","ארוע",,"זיבת אישה",,"בכל זמן","בכל מקום","אין","אין","משכב ומושב","106","השוכב עם הזבה דינו כרת","ענין הריחוק מהנשים ומטומאתן מפני המחלה שבהן שמזקת הרבה בני אדם."
183,0,"מצוות קורבן זבה כשתתרפא מזובה","קרבן זבה",1,"אישה מישראל","ארוע",,"זיבת אישה",,"רק כשהמקדש קיים","בכל מקום","אין","אין","מחוסרי כפרה","75","לא הקריבה קורבנה היא מחוסרת כפרה","לרמז על השפלת הגוף ותיקונו ע""י קורבן."
184,0,"לא ייכנסו הכוהנים בכל עת במקדש, וכל שכן זרים","כניסה למקדש בכל עת",0,"אדם מישראל","רצון","כניסה למקדש",,,"רק כשהמקדש קיים","בירושלים","מלקות","מלקות","ביאת המקדש","68",,"שיקבעו המשרתים בנפשותם גדולת המקום ומעלתו, ותהיה יראתו תמיד על פניהם."
185,0,"מצוות עבודת יום הכיפורים","עבודת יום הכיפורים",1,"כה""ג","זמן",,"יום כיפור",,"רק כשהמקדש קיים","בירושלים","אין","אין","עבודת יום הכיפורים","49",,"שהיה מחסדי ה' לתת לנו יום אחד בשנה לכפרה על חטאינו ושנשוב  בו בתשובה."
186,0,"לא לשחוט קדשים חוץ לעזרה","זבחים מחוץ למקדש",0,"אדם מישראל","רצון","הקרבה",,"בהמה שהוקדשה","בכל זמן","בכל מקום","כרת","חטאת קבועה","מעשה הקרבנות","90",,"ה' קבע מקום לישראל להביא שם קרבנותם להכין שם לבבם אליו, ושם מרוב גדולת המקום הכפרה שלמה יותר."
187,0,"מצוות כיסוי הדם","שחיטה",1,"אדם מישראל","רצון","אכילה",,"חיות","בכל זמן","בכל מקום","אין","אין","שחיטה","147",,"לפי שהנפש תלויה בדם ולכן ראוי לנו לכסות הנפש ולהסתירו טרם נאכל הבשר ובזה נמנע אכזריות מנפשינו."
188,0,"לא להתעדן באחת מכל העריות, והן - קרובות, אשת איש ונידה","קריבה לעריות",0,"אדם מישראל","רצון","יחסי מין",,"איש ואשה","בכל זמן","בכל מקום","מלקות","מכת מרדות","איסורי ביאה","353",,"הקרבה מביאה לגילוי עריות."
189,0,"לא לגלות ערוות אב","יחסי מין בין קרובים 1",0,"אדם מבני נוח","רצון","יחסי מין",,"הורים","בכל זמן","בכל מקום","סקילה","שתי חטאות","איסורי ביאה","351","החוטא בשוגג מביא שני חטאות.","הכיעור הגדול הזה יש להרחיקו מבני אדם."
190,0,"לא לגלות ערוות אם","יחסי מין בין קרובים 1",0,"אדם מבני נוח","רצון","יחסי מין",,"הורים","בכל זמן","בכל מקום","כרת","חטאת קבועה","איסורי ביאה","330","החוטא במזיד  ויש עדים ענשו סקילה","שלא יעיז פניו האדם לבוא על האשה שראוי לנהוג בה  כבוד."
191,0,"לא לגלות ערוות אשת אב ואע""פ שאינה אימו","יחסי מין בין קרובים 1",0,"אדם מבני נוח","רצון","יחסי מין",,"הורים","בכל זמן","בכל מקום","כרת","חטאת קבועה","איסורי ביאה","331","החוטא במזיד ויש עדים חייב סקילה","לפי שיהיה בדבר זה  דבר קלון לאביו."
192,0,"לא לגלות ערוות אחותו, בכל צד שהיא אחותו","יחסי מין בין קרובים 1",0,"אדם מבני נוח","רצון","יחסי מין",,"הורים","בכל זמן","בכל מקום","כרת","חטאת קבועה","איסורי ביאה","332","אחות מאם חייבים כל האומות ולא רק ישראל","אסרה התורה קרובות לפי שיכול יותר להכשל בהן מפני שהן מצויות אצלו תמיד."
193,0,"לא לגלות ערוות בת הבן","יחסי מין בין קרובים 2",0,"אדם מישראל","רצון","יחסי מין",,"קרובים","בכל זמן","בכל מקום","כרת","חטאת קבועה","איסורי ביאה","334","החוטא במזיד ויש עדים חיב שריפה","אסרה התורה קרובות שיכול יותר להכשל בהן מפני שהן מצויות אצלו תמיד."
194,0,"לא לגלות ערוות בת הבת","יחסי מין בין קרובים 2",0,"אדם מישראל","רצון","יחסי מין",,"קרובים","בכל זמן","בכל מקום","כרת","חטאת קבועה","איסורי ביאה","335","החוטא במזיד ויש עדים חיב שריפה","אסרה התורה קרובות שיכול יותר להכשל בהן מפני שהן מצויות אצלו תמיד."
195,0,"לא לגלות ערוות הבת","יחסי מין בין קרובים 1",0,"אדם מבני נוח","רצון","יחסי מין",,"הורים","בכל זמן","בכל מקום","כרת","חטאת קבועה","איסורי ביאה","336","החוטא במזיד ויש עדים חיב שריפה","אסרה התורה קרובות שיכול יותר להכשל בהן מפני שהן מצויות אצלו תמיד."
196,0,"לא לגלות ערוות אחותו מן האב והיא בת אשת האב","יחסי מין בין קרובים 2",0,"אדם מישראל","רצון","יחסי מין",,"קרובים","בכל זמן","בכל מקום","כרת","שתי חטאות","איסורי ביאה","333",,"אסרה התורה קרובות שיכול יותר להכשל בהן מפני שהן מצויות אצלו תמיד."
197,0,"לא לגלות ערוות אחות האב","יחסי מין בין קרובים 2",0,"אדם מישראל","רצון","יחסי מין",,"קרובים","בכל זמן","בכל מקום","כרת","חטאת קבועה","איסורי ביאה","340",,"אסרה התורה קרובות שיכול יותר להכשל בהן מפני שהן מצויות אצלו תמיד."
198,0,"לא לגלות ערוות אחות האם","יחסי מין בין קרובים 2",0,"אדם מישראל","רצון","יחסי מין",,"קרובים","בכל זמן","בכל מקום","כרת","חטאת קבועה","איסורי ביאה","341",,"אסרה התורה קרובות שיכול יותר להכשל בהן מפני שהן מצויות אצלו תמיד."
199,0,"לא לגלות ערוות אחי האב","יחסי מין בין קרובים 2",0,"אדם מישראל","רצון","יחסי מין",,"קרובים","בכל זמן","בכל מקום","סקילה","שתי חטאות","איסורי ביאה","352","אם אין  עדים והתראה העונש הוא כרת לשניהם","הכיעור הגדול הזה יש להרחיקו מבני אדם."
200,0,"לא לגלות ערוות אשת אחי האב","יחסי מין בין קרובים 2",0,"אדם מישראל","רצון","יחסי מין",,"קרובים","בכל זמן","בכל מקום","חנק","חטאת קבועה","איסורי ביאה","342","אם שכב איתה לאחר מות דודו חיב כרת","אסרה התורה קרובות שיכול יותר להכשל בהן מפני שהן מצויות אצלו תמיד."
201,0,"ערוות כלתך לא תגלה","יחסי מין בין קרובים 2",0,"אדם מישראל","רצון","יחסי מין",,"קרובים","בכל זמן","בכל מקום","סקילה","חטאת קבועה","איסורי ביאה","343","אם  אין עדים עונשו כרת","אסרה התורה קרובות שיכול יותר להכשל בהן מפני שהן מצויות אצלו תמיד."
202,0,"ערוות אשת אחיך לא תגלה","יחסי מין בין קרובים 2",0,"אדם מישראל","רצון","יחסי מין",,"קרובים","בכל זמן","בכל מקום","חנק","חטאת קבועה","איסורי ביאה","344","אם יש עדים מיתתם בחנק","אסרה התורה קרובות שיכול יותר להכשל בהן מפני שהן מצויות אצלו תמיד."
203,0,"ערוות אישה ובתה לא תגלה","יחסי מין עם קרובות",0,"אדם מישראל","רצון","יחסי מין",,"איש ואשה","בכל זמן","בכל מקום","שריפה","חטאת קבועה","איסורי ביאה","337",,"אסרה התורה קרובות שיכול יותר להכשל בהן מפני שהן מצויות אצלו תמיד."
204,0,"ערוות אישה ובת בנה לא תגלה","יחסי מין עם קרובות",0,"אדם מישראל","רצון","יחסי מין",,"איש ואשה","בכל זמן","בכל מקום","שריפה","חטאת קבועה","איסורי ביאה","338","אם מתה הראשונה שניהם חיבים כרת במזיד","אסרה התורה קרובות שיכול יותר להכשל בהן מפני שהן מצויות אצלו תמיד."
205,0,"ערוות אישה ובת בתה לא תגלה","יחסי מין עם קרובות",0,"אדם מישראל","רצון","יחסי מין",,"איש ואשה","בכל זמן","בכל מקום","שריפה","חטאת קבועה","איסורי ביאה","339","אם מתה הראשונה שנהם חיבים בכרת במזיד","אסרה התורה קרובות שיכול יותר להכשל בהן מפני שהן מצויות אצלו תמיד."
206,0,"ערוות אישה ואחותה לא תגלה","יחסי מין עם קרובות",0,"אדם מישראל","רצון","יחסי מין",,"איש ואשה","בכל זמן","בכל מקום","כרת","חטאת קבועה","איסורי ביאה","345",,"אסרה התורה קרובות שיכול יותר להכשל בהן מפני שהן מצויות אצלו תמיד."
207,0,"לא לבוא על אישה טמאה בטומאת נידה, זיבה או לידה","יחסי מין עם נידה",0,"אדם מישראל","רצון","יחסי מין","טומאת אדם","איש ואשה","בכל זמן","בכל מקום","כרת","חנק","איסורי ביאה","346",,"ה' ירחיק מעמו כל לכלוך וכל טומאה וכל נזק."
208,0,"לא ליתן זרע מזרעו למולך (האב לוקח בנו ומעבירו בלהב האש לפני עבודה זרה)","העברה למולך",0,"אדם מבני נוח","אדם",,,"ילד","בכל זמן","בכל מקום","סקילה","חטאת קבועה","עבודת כוכבים","7","במזיד,אם אין עדים והתראה חיב כרת","משורשי העבודה  זרה וזו ע""ז רעהביותר לכן קבלה אזהרה מיוחדת"
209,0,"לא לבוא על הזכרים","משכב זכר",0,"גבר מבני נוח","רצון","יחסי מין",,,"בכל זמן","בכל מקום","סקילה","חטאת קבועה","איסורי ביאה","350","במזיד ,אם אין עדים והתראה עונשו כרת","הכיעור הגדול הזה יש להרחיקו מבני אדם."
210,0,"לא לשכב עם בהמה","יחסי מין עם חיות",0,"גבר מבני נוח","רצון","יחסי מין",,"חיות","בכל זמן","בכל מקום","סקילה","חטאת קבועה","איסורי ביאה","348","במזיד ,אם אין עדים והתראה עונשו כרת","הקב""ה רצה שיהיו כל המינין שברא בעולמו עושין פרות למיניהן."
211,0,"לא תשכבנה הנשים עם בהמות","יחסי מין עם חיות",0,"אישה מבני נוח","רצון","יחסי מין",,"חיות","בכל זמן","בכל מקום","סקילה","חטאת קבועה","איסורי ביאה","349","במזיד ,אם אין עדים והתראה עונשה כרת"," הקב""ה רצה שיהיו כל המינין שברא בעולמו עושין פרות למינהן."
212,0,"מצוות יראת אב ואם","יראת הורים",1,"אדם מישראל","אדם",,,"הורים","בכל זמן","בכל מקום","אין","אין","ממרים","211",,"ראוי שאדם יכיר טובה למי שעשה עימו טובה ודרך כך יגיע להכרת טובתו של ה' יתברךשהוא טובת הכל"
213,0,"לא לפנות אחר עבודת אלילים לא במחשבה ולא בדיבור ולא אפילו בהבטה","פניה אחר אלילים",0,"אדם מישראל","רגע","מחשבה",,"אלילים","בכל זמן","בכל מקום","מלקות","אין","עבודת כוכבים","10",,"שורש ריחוק ע""ז ידוע לכל אדם."
214,0,"לא לעשות אלילים בידו, אפילו עבור אחרים","עשיית אליל",0,"אדם מבני נוח","רצון","יצירה",,"אלילים","בכל זמן","בכל מקום","מלקות","אין","עבודת כוכבים","3",,"שורש ריחוק ע""ז ידוע."
215,0,"לא לאכול נותר","אכילת נותר",0,"אדם מישראל","ארוע","אכילה","נותר","בשר קודש","רק כשהמקדש קיים","בכל מקום","כרת","חטאת קבועה","פסולי המקודשים","131",,"ענין הקורבן להכשיר מחשבות בני איש ומתוך פעולת הקרבן לתקן את החטא לדרכי היושר."
216,0,"להניח פאה בשדה מן התבואה לעני ולגר","פאת השדה",1,"אדם מישראל","עצם","קצירה",,"אדמה חקלאית","רק כשהיובל נוהג","רק בארץ ישראל","אין","אין","מתנות עניים","120","-","הקב""ה רצה להטביע בנו מידות טובות של נפש ברכה ורוח נדיבה."
217,0,"לא לכלות הפאה בשדה","פאת השדה",0,"אדם מישראל","עצם","קצירה",,"אדמה חקלאית","רק כשהיובל נוהג","רק בארץ ישראל","אין","אין","מתנות עניים","210",,"הקב""ה רצה להטביע בנו מידות טובות של נפש ברכה ורוח נדיבה."
218,0,"לעזוב הלקט בשדה לעניים והוא מה שנופל מתוך המגל בשעת קצירה או מתוך היד בשעת תלישה","לקט בשדה",1,"אדם מישראל","עצם","קצירה",,"אדמה חקלאית","רק כשהיובל נוהג","רק בארץ ישראל","אין","אין","מתנות עניים","221",,"הקב""ה רצה להטביע בנו מידות טובות של נפש ברכה ורוח נדיבה."
219,0,"לא לקחת שיבלים הנופלים בשעת הקציר אלא נעזוב השבלים לעניים","לקט בשדה",0,"אדם מישראל","עצם","קצירה",,"אדמה חקלאית","רק כשהיובל נוהג","רק בארץ ישראל","אין","אין","מתנות עניים","211",,"הקב""ה רצה להטביע בנו מידות טובות של נפש ברכה ורוח נדיבה."
220,0,"מצוות הנחת פאת הכרם שנצטווינו להשאיר כל העוללות שבכרם לפאה","פאת הכרם",1,"אדם מישראל","עצם","קצירה",,"אדמה חקלאית","רק כשהיובל נוהג","רק בארץ ישראל","אין","אין","מתנות עניים","123",,"הקב""ה רצה להטביע בנו מידות טובות של נפש ברכה ורוח נדיבה."
221,0,"שלא לכלות כל פירות הכרם בעת הבציר אלא יניח מהם פאה לעניים","פאת הכרם",0,"אדם מישראל","עצם","קצירה",,"אדמה חקלאית","רק כשהיובל נוהג","רק בארץ ישראל","אין","אין","מתנות עניים","212",,"הקב""ה רצה להטביע בנו מידות טובות של נפש ברכה ורוח נדיבה."
222,0,"מצוות הנחת פרט הכרם לעזוב פרט הכרם לעניים והוא מה שיתפרד ויפול מן הענבים בשעת הבצירה","פרט הכרם",1,"אדם מישראל","עצם","קצירה",,"אדמה חקלאית","רק כשהיובל נוהג","רק בארץ ישראל","אין","אין","מתנות עניים","124",,"הקב""ה רצה להטביע בנו מידות טובות של נפש ברכה ורוח נדיבה."
223,0,"לא ללקוט פרט הכרם אלא נעזוב אותו לעניים והוא גרגיר אחד או שני גרגרים הנפטרין מן האשכול","פרט הכרם",0,"אדם מישראל","עצם","קצירה",,"אדמה חקלאית","רק כשהיובל נוהג","רק בארץ ישראל","אין","אין","מתנות עניים","213",,"הקב""ה רצה להטביע בנו מידות טובות של נפש ברכה ורוח נדיבה."
224,0,"לא לגנוב שום ממון","גניבת ממון",0,"אדם מבני נוח","עצם",,,"רכוש הזולת","בכל זמן","בכל מקום","תשלומים","תשלומים","גניבה","244",,"מן המצוות שהשכל מחיבם."
225,0,"לא נכחיש על ממון שיש מאחר בידינו","הכחשה",0,"אדם מישראל","עצם","דיבור",,"רכוש הזולת","בכל זמן","בכל מקום","אין","אין","שבועות","248",,"מן המצוות שהשכל מחיבם."
226,0,"לא להישבע על כפירת ממון","שבועת הכחשה",0,"אדם מישראל","עצם","שבועה",,"רכוש הזולת","בכל זמן","בכל מקום","מלקות","אין","שבועות","249",,"זכור כל הזמן   גדולתו של הקב""ה ולזוכרו באימה וביראה."
227,0,"לא להישבע לשקר","שבועת אמת",0,"אדם מישראל","רצון","שבועה",,,"בכל זמן","בכל מקום","מלקות","קרבן עולה ויורד","שבועות","61",,"לזכור גדולת ה' ולזוכרו באימה ויראה ולא להשתמש בשמו לשבועת שקר."
228,0,"לא לעשוק","עושק",0,"אדם מבני נוח","עצם",,,"רכוש הזולת","בכל זמן","בכל מקום","תשלומים","תשלומים","גזילה ואבדה","247",,"רצה האל להרחיקנו ריחוק גדול מעוון זה לכן הרבה בו אזהרות רבות.דבר שני הוא מן המצוות שהשכל מחייבם"
229,0,"לא לגזול","גזל",0,"אדם מבני נוח","עצם",,,"רכוש הזולת","בכל זמן","בכל מקום","תשלומים","תשלומים","גזילה ואבדה","245",,"זהו דבר שהשכל מרחיקו הרבה וראוי להרחיקו."
230,0,"לא לאחר שכר שכיר","שכר שכיר",0,"אדם מבני נוח","רצון","שכירות",,"רכוש הזולת","בכל זמן","בכל מקום","תשלומים","תשלומים","שכירות","238",,"לפי שה' חפץ בקיום האדם וידוע כי באיחור המזונות יאבד הגוף, ע""כ ציונו לתת שכר שכיר כי אליו הוא נושא את נפשו להתפרנס בו."
231,0,"שלא לקלל אחד מישראל בין איש ובין אישה","קללת אדם",0,"אדם מישראל","אדם","קללה",,"אדם מישראל","בכל זמן","בכל מקום","מלקות","אין","סנהדרין","317",,"הקב""ה מנענו להזיק לזולת בפינו כמו שמע ענו מלהזיק במעשה."
232,0,"לא להכשיל תם או עיוור בדרך","הכשלת עיוור",0,"אדם מישראל","אדם",,,"החוליות החלשות","בכל זמן","בכל מקום","אין","אין","רוצח ושמירת הנפש","99",,"תיקון העולם יהיה ע""י מתן עצה טובה לבני אדם."
233,0,"לא לעשות עוול במשפט","דין צדק",0,"שופט","ארוע",,"דיון משפטי",,"בכל זמן","בכל מקום","אין","אין","סנהדרין","273",,"במשפט צדק יתקים ישוב בני האדם."
234,0,"לא לכבד גדול בדין","משוא פנים בדין",0,"שופט","אדם",,"דיון משפטי","בעלי תפקידים","בכל זמן","בכל מקום","אין","אין","סנהדרין","275",,"בהשווית הדין יתישב העולם. אם יכבד הדיין אחד מבעלי הדין על האחר יפחד בעל הריב להגיד טענותיו לפניו ומתוך כך יצא הדין מעוקל."
235,0,"מצווה שישפוט בצדק","דין צדק",1,"שופט","ארוע",,"דיון משפטי",,"בכל זמן","בכל מקום","אין","אין","סנהדרין","177",,"בהשווית הדין יתישב העולם. אם יכבד הדיין אחד מבעלי הדין על האחר יפחד בעל הריב להגיד טענותיו לפניו ומתוך כך יצא הדין מעוקל."
236,0,"לא לרגל (לא לרכל)","רכילות",0,"אדם מישראל","אדם","דיבור",,"אדם מישראל","בכל זמן","בכל מקום","אין","אין","דעות","301",,"ה' חפץ בטובת הבריות וצוה זאת כדי שיהיה שלום בנינו והרכילות סיבה לריב."
237,0,"לא לעמוד על דם רעים","הצלת אנשים בסכנה",0,"אדם מישראל","ארוע",,"סכנה","אדם מישראל","בכל זמן","בכל מקום","אין","אין","רוצח ושמירת הנפש","297",,"כאשר יציל אחד את חברו ,כן חברו יציל אותו ויתישב העולם בכך."
238,0,"לא לשנוא אדם מישראל","אהבת אזרח",0,"אדם מישראל","אדם","מחשבה",,"אדם מישראל","בכל זמן","בכל מקום","אין","אין","דעות","302",,"שנאת הלב גורמת רעות גדולות בין בני אדם, והיא המדה הפחותה והנמאסת בעני כל בעל שכל."
239,0,"מצוות תוכחה לישראל שאינו מתנהג כשורה","ביקורת ותוכחה",1,"אדם מישראל","אדם",,,"חוטא","בכל זמן","בכל מקום","אין","אין","דעות","205",,"מצוה זו גורמת לשלום בין האנשים ,שע""י התוכחה החוטא יתנצל בפניו וישלים עמו"
240,0,"לא להלבין פני אדם מישראל","ביוש",0,"אדם מישראל","אדם","דיבור",,"אדם מישראל","בכל זמן","בכל מקום","אין","אין","דעות","303",,"הבושת צער גדול לבריות,ומנענו ה' מלצער את הבריות כל כך."
241,0,"לא לנקום","נקמה",0,"אדם מישראל","אדם","מחשבה",,"אדם מישראל","בכל זמן","בכל מקום","אין","אין","דעות","304",,"שידע אדם שכל אשר קורה לו הוא מאת ה' ולכן לא יחשב בליבו לנקום כי הוא אינו סיבת רעתו אלא מאת ה'"
242,0,"לא לנטור (בדיבור), ולהימנע אפילו מזכירת חטאו בלב בלבד","נקמה",0,"אדם מישראל","אדם","מחשבה",,"אדם מישראל","בכל זמן","בכל מקום","אין","אין","דעות","305",,"שידע אדם שכל אשר קורה לו הוא מאת ה' ולכן לא יחשב בליבו לנקום כי הוא אינו סיבת רעתו אלא מאת ה'."
243,0,"מצוות אהבת ישראל","אהבת אזרח",1,"אדם מישראל","אדם",,,"אדם מישראל","בכל זמן","בכל מקום","אין","אין","דעות","206",,"כמו שיעשה הוא לחברו כן יעשה חברו לו ובזה יהיה שלום בן הבריות."
244,0,"לא להרביע בהמה מין עם שאינו מינו","הרבעת כלאי בהמה",0,"אדם מבני נוח","עצם",,,"חיות","בכל זמן","בכל מקום","אין","אין","כלאיים","217",,"הקב""ה ברא את עולמו בחכמתו ותבונתו ובשלמות ועשה וצוה על כל מין ומין להיות עשה פרותיו למינהו."
245,0,"לא לזרוע כלאי זרעים ולא ירכיב אילן בשום מקום בארץ","כלאי זרעים",0,"אדם מבני נוח","עצם","זריעה",,"אדמה חקלאית","בכל זמן","בכל מקום","אין","אין","כלאיים","215","בן נוח אסור בהרכבת אילן בלבד (רמב""ם, מלכים י:ח)","הקב""ה ברא את עולמו בחכמתו ותבונתו ובשלמות ועשה וצוה על כל מין ומין להיות עשה פרותיו למינהו."
246,0,"לא לאכול ערלה, והם פירות העץ בשלוש השנים הראשונות לנטיעתו","ערלה",0,"אדם מישראל","עצם","אכילה",,"פרי העץ","בכל זמן","בכל מקום","מלקות","אין","מאכלות אסורים","192",,"הקב""ה רצה שהאדם יתעורר להלל את הקב""ה במבחר פרותיו,לכן צוה שנחכה עם אכילתם 3 שנים כדי שנתאוה לאכילת הפרות."
