 תולדות יעקב בן יצחק (יוסף, יהודה ואחיהם)	בראשית לז1	פרשה_בתנך	prqim/t0137.htm#1
זיהם	פיעל	לשון_המקרא	tnk1/ljon/jorj/zhm.html
זיו	שורש	לשון_המקרא	tnk1/ljon/jorj/zyw.html
זיז	שורש [= שם "זיז", והוא עוף טהור גדול שיש בו כמה מיני טעם, רד"ק בשם וי"ר. והוא שם גם לחלב ודשן.]	לשון_המקרא	tnk1/ljon/jorj/zyz.html
זִיז1	עוף	לשון_המקרא	tnk1/ljon/jorj/zyz.html
זִיז2	מופשט [= חלב ודשן]	לשון_המקרא	tnk1/ljon/jorj/zyz.html
זיזא	גבר	דמות_מהתנך	tnk1/dmut/dmut/968.html
זיכה	פיעל	לשון_המקרא	tnk1/ljon/jorj/zkh.html
זימר	פיעל	לשון_המקרא	tnk1/ljon/jorj/zmr1.html
זינב	פיעל [= כריתת זנב, על צד המליצה]	לשון_המקרא	tnk1/ljon/jorj/znb.html
זינק	פיעל	לשון_המקרא	tnk1/ljon/jorj/znq.html
זִיק	חומר [= רק ברבים "זיקות"]	לשון_המקרא	tnk1/ljon/jorj/zyq.html
זיקַק	פיעל	לשון_המקרא	tnk1/ljon/jorj/zqq1.html
זירה	פיעל	לשון_המקרא	tnk1/ljon/jorj/zrh.html
זיִת	פרי [= עץ פרי ידוע]	לשון_המקרא	tnk1/ljon/jorj/zyt.html
זַך	פעל	לשון_המקרא	tnk1/ljon/jorj/zkk.html
זכה	שורש [= ענינו זיכוך ונקיות מוסרי]	לשון_המקרא	tnk1/ljon/jorj/zkh.html
זכויות העבד העברי	זכויות העבד העברי	מצוות_אדם	tryg/sug/jxrwr_ebd_ebry.html
זכויות יוצרים	זכויות יוצרים בתורה	אוסף מאמרים	tryg/mamr/copyright.html
זכוכית	חומר [= מין אבן יקרה, בהירה ונקיה]	לשון_המקרא	tnk1/ljon/jorj/zkk.html
זכור	גבר	דמות_מהתנך	tnk1/dmut/dmut/386.html
זכוּר	בעל תכונה [= תואר על משקל פעוּל]	לשון_המקרא	tnk1/ljon/jorj/zkr2.html
זכירת מתן תורה	זכרון מעמד הר סיני	מצוות_רגע	tryg/sug/zkr_mtn_twrh.html
זככ	שורש [= ענינו טהרה ונקיות, מוחשי או מופשט]	לשון_המקרא	tnk1/ljon/jorj/zkk.html
זכר	צורת זכר וצורת נקבה	אוסף מאמרים	tnk1/ljon/dq/cwrt_zkr_wcwrt_nqbh.html
זכר	שורש [עם כמה משמעויות שונות]	לשון_המקרא	tnk1/ljon/jorj/zkr.html
זֵכֶר	מופשט	לשון_המקרא	tnk1/ljon/jorj/zkr1.html
זָכָר	תואר	לשון_המקרא	tnk1/ljon/jorj/zkr2.html
זכר המדבר	החובה לזכור את מעשי אבותינו במדבר	מצוות_רגע	tryg/sug/zkr_hmdbr.html
זכר מרים	המצוה לזכור את עונשה של מרים שדיברה לשון הרע על אחיה	מצוות_אדם	tryg/sug/zkr_mrym.html
זכר עמלק	זכירת המעשים הרעים של עמלק	מצוות_אדם	tryg/sug/zkr_emlq.html
זִכְרון	מופשט	לשון_המקרא	tnk1/ljon/jorj/zkr1.html
זכרון יציאת מצרים	מצוות שמטרתן להזכיר לנו את יציאת מצרים	מצוות_ערך	tryg/sug/rayon_ycyat_mcrym.html
זכרון תרועה	ביטוי: מופשט	לשון_המקרא	tnk1/ljon/jorj/zkr.html#bituy
זכרי	גבר	דמות_מהתנך	tnk1/dmut/dmut/267.html
זכריה	גבר	דמות_מהתנך	tnk1/dmut/dmut/1072.html
זכריה	גבר	דמות_מהתנך	tnk1/dmut/dmut/1143.html
זכריה	גבר	דמות_מהתנך	tnk1/dmut/dmut/1248.html
זכריה	גבר	דמות_מהתנך	tnk1/dmut/dmut/978.html
זכריה	גבר	דמות_מהתנך	tnk1/dmut/dmut/987.html
זכריה	גבר	דמות_מהתנך	tnk1/dmut/dmut/997.html
זכריה	כמה	דמויות_מהתנך	tnk1/dmut/jm/zkryh.html
זכריה	זכריה	ספר	tnk1/prqim/t23.htm
זכריה - כל הפרקים	זכריה א0	פרשה_בתנך	prqim/t2301.htm#0
זכריה אבי אבי	גבר	דמות_מהתנך	tnk1/dmut/dmut/997.html
זכריה בן ברכיה	גבר	דמות_מהתנך	tnk1/dmut/dmut/1248.html
זכריה בן יהוידע	גבר	דמות_מהתנך	tnk1/dmut/dmut/987.html
זכריה בן ירבעם	גבר	דמות_מהתנך	tnk1/dmut/dmut/1072.html
זכריהו בן יברכיהו	גבר	דמות_מהתנך	tnk1/dmut/dmut/1143.html
זכריהו בן יהושפט	גבר	דמות_מהתנך	tnk1/dmut/dmut/978.html
זל	פעל	לשון_המקרא	tnk1/ljon/jorj/zwl.html
זלג	שורש	לשון_המקרא	tnk1/ljon/jorj/zlg.html
זֻלּוּת	מופשט	לשון_המקרא	tnk1/ljon/jorj/zll.html
זַלזַל	צמח [= רק ברבים "זלזלים"]	לשון_המקרא	tnk1/ljon/jorj/zlzl.html
זלילה וסביאה	זלילה וסביאה	מצוות_רצון	tryg/sug/zlylh_wsbyah.html
זלל	שורש [= ענינו התנהג בבזיון וקלון, ולכן בא גם על המרבה באכילה]	לשון_המקרא	tnk1/ljon/jorj/zll.html
זלעפ	שורש	לשון_המקרא	tnk1/ljon/jorj/zlep.html
זלפה	אשה	דמות_מהתנך	tnk1/dmut/dmut/167.html
זלפה אמנו	אשה	דמות_מהתנך	tnk1/dmut/dmut/167.html
זלת	שורש [= מילת "זולת", נרדפת למילת בלעדי]	לשון_המקרא	tnk1/ljon/jorj/zlt.html
זמה	גבר	דמות_מהתנך	tnk1/dmut/dmut/1385.html
זמָּה	מופשט [= נרדף לנבלה]	לשון_המקרא	tnk1/ljon/jorj/zmh.html
זמה בן שמעי	גבר	דמות_מהתנך	tnk1/dmut/dmut/1385.html
זמורה	צמח	לשון_המקרא	tnk1/ljon/jorj/zmr2.html
זמורים	צמח [= "זמורה" בלשון זכר]	לשון_המקרא	tnk1/ljon/jorj/zmr2.html
זמיר	קול [= עוף שמזמר בעונת הדגירה, נקרא בגרמנית "נאכטיגל", עובר בארץ ישראל באביב ובסתיו]	לשון_המקרא	tnk1/ljon/jorj/zmr1.html
זמירות	קול	לשון_המקרא	tnk1/ljon/jorj/zmr1.html
זְמָם	מופשט	לשון_המקרא	tnk1/ljon/jorj/zmm.html
זמָן	זמן [= מועד ועת קבוע]	לשון_המקרא	tnk1/ljon/jorj/zmn.html
זמן של פועל	זמן של פועל	אוסף מאמרים	tnk1/ljon/dq/zmn_jl_pwel.html
זמר	שורש [עם כמה משמעויות שונות]	לשון_המקרא	tnk1/ljon/jorj/zmr.html
זמַר	פיעל הפוך [= כרת זמורה]	לשון_המקרא	tnk1/ljon/jorj/zmr2.html
זמֶר	חיה [= ג'ירפה]	לשון_המקרא	tnk1/ljon/jorj/zmr3.html
זמר תנכי	זמר תנ"כי (שיר עם מנגינה)	אוסף מאמרים	tnk1/sig/9zmr.html
זמֶר1	קול	לשון_המקרא	tnk1/ljon/jorj/zmr1.html
זִמְרָה	קול [= שיר]	לשון_המקרא	tnk1/ljon/jorj/zmr1.html
זמרי	גבר	דמות_מהתנך	tnk1/dmut/dmut/1026.html
זמרי	גבר	דמות_מהתנך	tnk1/dmut/dmut/522.html
זמרי	כמה	דמויות_מהתנך	tnk1/dmut/jm/zmry.html
זמרי בן סלוא	גבר	דמות_מהתנך	tnk1/dmut/dmut/522.html
זמרי מלך ישראל	גבר	דמות_מהתנך	tnk1/dmut/dmut/1026.html
זמרן	גבר	דמות_מהתנך	tnk1/dmut/dmut/125.html
זמרן בן אברהם	גבר	דמות_מהתנך	tnk1/dmut/dmut/125.html
זִמֹּת	מופשט	לשון_המקרא	tnk1/ljon/jorj/zmm.html
זַן	זמן [= שעת אוסף התבואה]	לשון_המקרא	tnk1/ljon/jorj/zn.html
זנָב	גוף [= איבר בקצה אחורי גוף בעלי-חיים]	לשון_המקרא	tnk1/ljon/jorj/znb.html
זנה	שורש [= ענינו יחסי מין זולים, במסגרת קשר שאפשר לזנוח בקלות; ובהשאלה: כל בגידה באדון]	לשון_המקרא	tnk1/ljon/jorj/znh.html
זנוּנים	מופשט [= יחסי מין ללא קשר מחייב]	לשון_המקרא	tnk1/ljon/jorj/znh.html
זנוּת	מופשט [= יחסי מין ללא קשר מחייב]	לשון_המקרא	tnk1/ljon/jorj/znh.html
זנות	איסור זנות (יחסי מין במסגרת קשר ארעי)	מצוות_רצון	tryg/sug/znwt.html
זנות ואלילים	זנות פולחנית - הקשר בין זנות לבין עבודת אלילים	אוסף מאמרים	tryg/mamr/znwt_pwlxnyt.html
זנח	שורש [= ענינו ריחוק וסור ההשגחה]	לשון_המקרא	tnk1/ljon/jorj/znx.html
זְנִים	בושם [= שם על משקל "גביר", "כפיר"]	לשון_המקרא	tnk1/ljon/jorj/znm.html
זנמ	שורש	לשון_המקרא	tnk1/ljon/jorj/znm.html
זנק	שורש [= ענינו קילוח או דילוג]	לשון_המקרא	tnk1/ljon/jorj/znq.html
זע	פעל	לשון_המקרא	tnk1/ljon/jorj/zwe.html
זעָה	גוף	לשון_המקרא	tnk1/ljon/jorj/yze.html
זעה	שורש [= שם "זעוה", וענינו סחי ומאוס, וע' ראב"ע ישעיהו כח. ועמו "מזעזעיך"]	לשון_המקרא	tnk1/ljon/jorj/zeh.html
זעוה	מופשט	לשון_המקרא	tnk1/ljon/jorj/zeh.html
זעון	גבר	דמות_מהתנך	tnk1/dmut/dmut/371.html
זעזע	פיעל	לשון_המקרא	tnk1/ljon/jorj/zeh.html
זעֵיר	מופשט	לשון_המקרא	tnk1/ljon/jorj/zer.html
זעכ	שורש [= ענינו כמו דעכ, בחילוף ד' לז', וע' רש"י תהלים קיח]	לשון_המקרא	tnk1/ljon/jorj/zek.html
זַעַם	רגש	לשון_המקרא	tnk1/ljon/jorj/zem.html
זַעַף	רגש	לשון_המקרא	tnk1/ljon/jorj/zep.html
זַעַק	קול	לשון_המקרא	tnk1/ljon/jorj/zeq.html
זעק=צעק	עלשורש_אות [= שורשים עם משמעות דומה, בחילוף בין שתי אותיות קרובות]	לשון_המקרא	tnk1/ljon/jorj/zeq=ceq.html
זעקה	קול [= "זַעַק" בלשון נקבה]	לשון_המקרא	tnk1/ljon/jorj/zeq.html
זער	שורש [= שם "זער" ו"מזער", וענינם מעט ומצער]	לשון_המקרא	tnk1/ljon/jorj/zer.html
זער=צער	עלשורש_אות [= שורשים עם משמעות דומה, בחילוף בין שתי אותיות קרובות]	לשון_המקרא	tnk1/ljon/jorj/zer=cer.html
זפֶת	חומר בנין [= מין שרף]	לשון_המקרא	tnk1/ljon/jorj/zpt.html
זַק	פעל [= רק בעתיד "יזֹקּו"]	לשון_המקרא	tnk1/ljon/jorj/zqq1.html
זקונים	זמן [= שם מופשט בלשון רבים, ולא יי פרד]	לשון_המקרא	tnk1/ljon/jorj/zqn.html
זִקִּים	כלי	לשון_המקרא	tnk1/ljon/jorj/zqq2.html
זקֵן	בעל תכונה	לשון_המקרא	tnk1/ljon/jorj/zqn.html
זִקנה	אופי	לשון_המקרא	tnk1/ljon/jorj/zqn.html
זקני העיר	ביטוי: בעל תפקיד [= מועצת העיר, הסנהדרין הקטנה]	לשון_המקרא	tnk1/ljon/jorj/zqn.html#bituy
זקני העם	ביטוי: בעל תפקיד [= המועצה הראשית של העם, הסנאט]	לשון_המקרא	tnk1/ljon/jorj/zqn.html#bituy
זקני ישראל	ביטוי: בעל תפקיד [= המועצה הראשית של עם ישראל, הסנהדרין הגדולה]	לשון_המקרא	tnk1/ljon/jorj/zqn.html#bituy
זקפ	שורש [= ענינו הרמת הכיפוף]	לשון_המקרא	tnk1/ljon/jorj/zqp.html
זקק	שורש [עם כמה משמעויות שונות]	לשון_המקרא	tnk1/ljon/jorj/zqq.html
זר	שורש [עם כמה משמעויות שונות]	לשון_המקרא	tnk1/ljon/jorj/zr.html
זֵר	כלי	לשון_המקרא	tnk1/ljon/jorj/zr1.html
זָר	בעל תכונה	לשון_המקרא	tnk1/ljon/jorj/zwr1.html
זַר1	פעל	לשון_המקרא	tnk1/ljon/jorj/zwr1.html
זַר2	פעל	לשון_המקרא	tnk1/ljon/jorj/zwr2.html
זָרָא	רגש [= ריחוק ותיעוב]	לשון_המקרא	tnk1/ljon/jorj/zwr1.html
זרב	שורש [= ענינו חימום]	לשון_המקרא	tnk1/ljon/jorj/zrb.html
זרב=צרב	עלשורש_אות [= שורשים עם משמעות דומה, בחילוף בין שתי אותיות קרובות]	לשון_המקרא	tnk1/ljon/jorj/zrb=crb.html
זרבבל	גבר	דמות_מהתנך	tnk1/dmut/dmut/1244.html
זרה	שורש [= פיזר לצורך הפרדת הטוב מהרע]	לשון_המקרא	tnk1/ljon/jorj/zrh.html
זָרָה	בעל תכונה	לשון_המקרא	tnk1/ljon/jorj/zwr1.html
זִרוּע	צמח [= צמחי אדמה]	לשון_המקרא	tnk1/ljon/jorj/zre1.html
זרוע	גוף	לשון_המקרא	tnk1/ljon/jorj/zre2.html
זרוע לחיים וקיבה	מתן זרוע לחיים וקיבה לכהן	מצוות_רצון	tryg/sug/zrwe_lxyym_wqybh.html
זרזִיף	עשב [= תרגומו "עשבא דארעא"]	לשון_המקרא	tnk1/ljon/jorj/zrzyp.html
זרזִיר	חיה [= מין חיה שכוחה במתניה וקלה ברגליה]	לשון_המקרא	tnk1/ljon/jorj/zrzyr.html
זרח	גבר	דמות_מהתנך	tnk1/dmut/dmut/1388.html
זרח	גבר	דמות_מהתנך	tnk1/dmut/dmut/189.html
זרח	גבר	דמות_מהתנך	tnk1/dmut/dmut/197.html
זרח	גבר	דמות_מהתנך	tnk1/dmut/dmut/456.html
זרח	כמה	דמויות_מהתנך	tnk1/dmut/jm/zrx.html
זֶרח	מופשט	לשון_המקרא	tnk1/ljon/jorj/zrx.html
זרח אבי יובב	גבר	דמות_מהתנך	tnk1/dmut/dmut/456.html
זרח בן יהודה	גבר	דמות_מהתנך	tnk1/dmut/dmut/197.html
זרח בן עדיה	גבר	דמות_מהתנך	tnk1/dmut/dmut/1388.html
זרח בן רעואל	גבר	דמות_מהתנך	tnk1/dmut/dmut/189.html
זרחיה	גבר	דמות_מהתנך	tnk1/dmut/dmut/760.html
זָרים	תואר [= על משקל "קנים"]	לשון_המקרא	tnk1/ljon/jorj/zrh.html
זריעה	זריעה	מצוות_רצון	tryg/sug/rcon_zryeh.html
זריעת כלאים בכרם	זריעת כלאים בכרם	מצוות_עצם	tryg/sug/zryet_klaym_bkrm.html
זֶרֶם	עצם בארץ [= מים שוטפים בחזקה]	לשון_המקרא	tnk1/ljon/jorj/zrm.html
זִרמָה	חומר [= שטיפת זרע]	לשון_המקרא	tnk1/ljon/jorj/zrm.html
זרע	שורש [עם כמה משמעויות שונות]	לשון_המקרא	tnk1/ljon/jorj/zre.html
זֶרַע	אדם קרוב [= כולל דבר הנזרע ודבר הצמח והנולד בתבואה ובבעלי-חיים, ובא גם על עת הזריעה]	לשון_המקרא	tnk1/ljon/jorj/zre1.html
זרע אמת	ביטוי: צמח	לשון_המקרא	tnk1/ljon/jorj/amn1.html#bituy
זרע עמלק	היחס לעמלק	מצוות_אדם	tryg/sug/ecm_adm_emlq.html
זרעון	צמח [= רק ברבים "זרעונים"]	לשון_המקרא	tnk1/ljon/jorj/zre1.html
זרק	שורש [= ענינו הזיה והשלכה, ועמו "מזרק"]	לשון_המקרא	tnk1/ljon/jorj/zrq.html
זרש	אשה	דמות_מהתנך	tnk1/dmut/dmut/1321.html
זרֶת	מידה [= והוא מידה, שיעור חצי אמה]	לשון_המקרא	tnk1/ljon/jorj/zrt.html
זתר	גבר	דמות_מהתנך	tnk1/dmut/dmut/1410.html
ח	אות	לשון_המקרא	tnk1/ljon/jorj/x.html
חב	פעל	לשון_המקרא	tnk1/ljon/jorj/xwb=xyb.html
חֹבֶא	מופשט [= שם מופשט על-משקל "סֻלּם" או "קֹמץ" [רק בצירוף "בְחֻבִּי ."]]	לשון_המקרא	tnk1/ljon/jorj/xba.html
חבב	גבר	דמות_מהתנך	tnk1/dmut/dmut/501.html
חבב	שורש [= ענינו סגולה. תרגום "סגולה"="חביב"]	לשון_המקרא	tnk1/ljon/jorj/xbb.html
חבב בן רעואל	גבר	דמות_מהתנך	tnk1/dmut/dmut/501.html
חבה	שורש [= ענינו כמו חבא. ואולי ענינו חוזק ואומץ]	לשון_המקרא	tnk1/ljon/jorj/xbh.html
חבול	שם מתואר [= משכון]	לשון_המקרא	tnk1/ljon/jorj/xbl1.html
חבולה	שם מתואר [= "חבול" בלשון נקבה, או שם מופשט]	לשון_המקרא	tnk1/ljon/jorj/xbl1.html
חֲבורה	מחלה	לשון_המקרא	tnk1/ljon/jorj/xbr.html
חבט	שורש [= ענינו כמו דישה, וקל ממנה, שהוא במקל]	לשון_המקרא	tnk1/ljon/jorj/xbf.html
חביון	מופשט	לשון_המקרא	tnk1/ljon/jorj/xbh.html
חבירה	חבירת חבר	מצוות_רצון	tryg/sug/xbyrh.html
חביתים	אוכל [= מנחה מעשה מחבת]	לשון_המקרא	tnk1/ljon/jorj/xbt.html
חבל	שורש [עם כמה משמעויות שונות]	לשון_המקרא	tnk1/ljon/jorj/xbl.html
חֻבל	פֻעל	לשון_המקרא	tnk1/ljon/jorj/xbl2.html
חֶבֶל2	מופשט	לשון_המקרא	tnk1/ljon/jorj/xbl2.html
חֵבֶל3	רגש	לשון_המקרא	tnk1/ljon/jorj/xbl3.html
חִבֵּל4	מבנה [= תורֵן הספינה, הקשור בחבלים [על משקל "כִסֵּא", "עִוֵּר"]]	לשון_המקרא	tnk1/ljon/jorj/xbl4.html
חבצלֶת	עשב [= פרח בעל בצל חבוי, כנראה חבצלת השרון]	לשון_המקרא	tnk1/ljon/jorj/xbclt.html
חבצניה	גבר	דמות_מהתנך	tnk1/dmut/dmut/1170.html
חבק	שורש [= ענינו לקיחת דבר אל החיק מרוב חשק בו]	לשון_המקרא	tnk1/ljon/jorj/xbq.html
חבקוק	גבר	דמות_מהתנך	tnk1/dmut/dmut/1235.html
חבקוק	חבקוק	ספר	tnk1/prqim/t20.htm
חבקוק - כל הפרקים	חבקוק א0	פרשה_בתנך	prqim/t2001.htm#0
חבקוק הנביא	גבר	דמות_מהתנך	tnk1/dmut/dmut/1235.html
חבר	גבר	דמות_מהתנך	tnk1/dmut/dmut/236.html
חבר	גבר	דמות_מהתנך	tnk1/dmut/dmut/570.html
חבר	כמה	דמויות_מהתנך	tnk1/dmut/jm/xbr.html
חַבָּר	בעל תפקיד [= מהפנט חיות, היודע לאסוף חיות למקום אחד או לשתק חיות (ע' רש"י וראב"ע)]	לשון_המקרא	tnk1/ljon/jorj/xbr.html
חבר בן בריעה	גבר	דמות_מהתנך	tnk1/dmut/dmut/236.html
חבר הקיני	גבר	דמות_מהתנך	tnk1/dmut/dmut/570.html
חֶבֶר[מ]	מופשט	לשון_המקרא	tnk1/ljon/jorj/xbr.html
חֶבֶר[ע]	שם מתואר [= מוחשי או מופשט]	לשון_המקרא	tnk1/ljon/jorj/xbr.html
חברבורות	גוף [= כתמי נמר שדומין לחבורות]	לשון_המקרא	tnk1/ljon/jorj/xbr.html
חֶבְרָה	מופשט [= "חֶבֶר" בלשון נקבה]	לשון_המקרא	tnk1/ljon/jorj/xbr.html
חברון	גבר	דמות_מהתנך	tnk1/dmut/dmut/258.html
חֻבש	פֻעל	לשון_המקרא	tnk1/ljon/jorj/xbj.html
חבת	שורש [= שם "מחבת" ו"חביתים"]	לשון_המקרא	tnk1/ljon/jorj/xbt.html
חַג	זמן [= מועד שבו רוקדים במעגל, או - מועד שמגיע כל שנה באופן מחזורי]	לשון_המקרא	tnk1/ljon/jorj/xgg.html
חג	פעל	לשון_המקרא	tnk1/ljon/jorj/xwg.html
חג ה'	ביטוי: זמן	לשון_המקרא	tnk1/ljon/jorj/xgg.html#bituy
חג האסיף	ביטוי: זמן	לשון_המקרא	tnk1/ljon/jorj/asp.html#bituy
חג חנוכה	חג חנוכה	אוסף מאמרים	tryg/mamr/xnwkh.html
חג סוכות	חג סוכות	מצוות_זמן	tryg/sug/erua_zmn_swkwt.html
חג פורים	חג פורים	אוסף מאמרים	tryg/mamr/pwrym.html
חג פסח	חג פסח	מצוות_זמן	tryg/sug/erua_zmn_psx.html
חג שבועות	חג שבועות	מצוות_זמן	tryg/sug/erua_zmn_jbwewt.html
חַג[ק]	קרבן [= שם ליום טוב ולקרבן הקרב בו]	לשון_המקרא	tnk1/ljon/jorj/xgg.html
חגא	מופשט [= ענינו תנועה רעדית]	לשון_המקרא	tnk1/ljon/jorj/xgg.html
חגָב	חרק [= מין ארבה]	לשון_המקרא	tnk1/ljon/jorj/xgb.html
חגג	שורש [= ענינו תנועה ורקידה, ועל הרוב הוא לשמחת יום-טוב, ולזבוח בו זבחים, ועמו "לחגא"]	לשון_המקרא	tnk1/ljon/jorj/xgg.html
חגה	שורש [= שם-רבים "חגוי", בסמיכות, והוא נקיקי סלע]	לשון_המקרא	tnk1/ljon/jorj/xgh.html
חגוים	עצם בארץ [= רק בסמיכות "חגוי סלע"]	לשון_המקרא	tnk1/ljon/jorj/xgh.html
חֲגוֹר1	תואר [= כמו "חגוּר"]	לשון_המקרא	tnk1/ljon/jorj/xgr.html
חֲגוֹר2	בגד [= אזור]	לשון_המקרא	tnk1/ljon/jorj/xgr.html
חֲגוֹרה	בגד [= חגור בלשון נקבה]	לשון_המקרא	tnk1/ljon/jorj/xgr.html
חגי	גבר	דמות_מהתנך	tnk1/dmut/dmut/1241.html
חגי	גבר	דמות_מהתנך	tnk1/dmut/dmut/225.html
חגי	כמה	דמויות_מהתנך	tnk1/dmut/jm/xgy.html
חגי	חגי	ספר	tnk1/prqim/t22.htm
חגי - כל הפרקים	חגי א0	פרשה_בתנך	prqim/t2201.htm#0
חגי בן גד	גבר	דמות_מהתנך	tnk1/dmut/dmut/225.html
חגי ההודיה	חגים שנקבעו לאחר תקופת התורה, כדי להודות לה' על הנסים	אוסף מאמרים	tryg/mamr/xgim.html
חגי הופר	חגי הופר	אוסף מאמרים	tnk1/sofrim/hoffer/index.html
חגי הנביא	גבר	דמות_מהתנך	tnk1/dmut/dmut/1241.html
חגי מעורר הגאולה	חגי מעורר הגאולה	אוסף מאמרים	tnk1/sofrim/mali/xgy.html
חגי רפי	ספרים של רפאל ב"ר אשר חגבי - חגי רפי	אוסף מאמרים	tnk1/sofrim/hagay/index.html
חגיגה עם קרבן הפסח	חגיגה עם קרבן הפסח	מצוות_זמן	tryg/sug/xgygh_em_qrbn_hpsx.html
חגיגת חג	קרבן חגיגה שמקריבים בשלושת הרגלים	מצוות_זמן	tryg/sug/xgygh.html
חגית	אשה	דמות_מהתנך	tnk1/dmut/dmut/703.html
חגלה	אשה	דמות_מהתנך	tnk1/dmut/dmut/299.html
חגר	שורש [= ענינו חבישה וקישור האזור על המתנים]	לשון_המקרא	tnk1/ljon/jorj/xgr.html
חַד	פעל	לשון_המקרא	tnk1/ljon/jorj/xdd.html
חד	פעל [= יוצא לדבר החידה]	לשון_המקרא	tnk1/ljon/jorj/xwd.html
חדד	גבר	דמות_מהתנך	tnk1/dmut/dmut/148.html
חדד	שורש [= ענינו ליטוש]	לשון_המקרא	tnk1/ljon/jorj/xdd.html
חדד בן ישמעאל	גבר	דמות_מהתנך	tnk1/dmut/dmut/148.html
חַדָּה	תואר	לשון_המקרא	tnk1/ljon/jorj/xdd.html
חִדָּה	פיעל	לשון_המקרא	tnk1/ljon/jorj/xdh.html
חדודים	שם מתואר	לשון_המקרא	tnk1/ljon/jorj/xdd.html
חדוה	רגש	לשון_המקרא	tnk1/ljon/jorj/xdh.html
חֶדֶל	מקום פרטי [= עולם ותבל; וייתכן היות המילה הפוכה, כמו כבש=כשב, מגזרת "חלדי"; וייתכן היות כמוהו "מה חדל אני", והטעם - כמה אעמוד עם יושבי חלד, ראב"ע שם ותהלים]	לשון_המקרא	tnk1/ljon/jorj/xdl.html
חדל=חלד	עלשורש_סדר [= שורשים עם אותה משמעות וסדר-אותיות שונה]	לשון_המקרא	tnk1/ljon/jorj/xdl=xld.html
חדֶק	עשב [= מין קוץ]	לשון_המקרא	tnk1/ljon/jorj/xdq.html
חדֶר	מבנה [= תא הבית]	לשון_המקרא	tnk1/ljon/jorj/xdr.html
חדרי בטן	ביטוי: גוף	לשון_המקרא	tnk1/ljon/jorj/bfn1.html#bituy
חדרי תימן	ביטוי: מקום [= מזרים / מזרות]	לשון_המקרא	tnk1/ljon/jorj/xdr.html#bituy
חֹדֶש	זמן [= בלשון ימינו תקופה בין שתי התחדשויות של הירח, בלשון המקרא גם היום שבו הירח מופיע מחדש]	לשון_המקרא	tnk1/ljon/jorj/xdj.html
חוב	שורש	לשון_המקרא	tnk1/ljon/jorj/xwb.html
חוֹב	מופשט	לשון_המקרא	tnk1/ljon/jorj/xwb=xyb.html
חוב=חיב	שורש [= ענינו ידוע בדברי חז"ל]	לשון_המקרא	tnk1/ljon/jorj/xwb=xyb.html
חובא	פֻעל	לשון_המקרא	tnk1/ljon/jorj/xba.html
חובֵב	תואר [= על משקל "חותֵן", כמו בארמית "חביב"]	לשון_המקרא	tnk1/ljon/jorj/xbb.html
חובות הגבר לאשתו	חובות הגבר לאשתו	מצוות_אדם	tryg/sug/xwbwt_hgbr_lajtw.html
חובֵל	בעל תפקיד [= מלח ומנהיג הספינה, על שם החבל, שמושך בחכמה]	לשון_המקרא	tnk1/ljon/jorj/xbl4.html
חובר	פֻעל	לשון_המקרא	tnk1/ljon/jorj/xbr.html
חובר חבר	ביטוי: בעל תפקיד [= המצרף נחשים ועקרבים או שאר חיות למקום אחד]	לשון_המקרא	tnk1/ljon/jorj/xbr.html#bituy
חוברת	חומר בנין [= היריעה שבסוף חמש היריעות, שמחברת את שכנגדה בקרסים]	לשון_המקרא	tnk1/ljon/jorj/xbr.html
חובש	בעל תכונה	לשון_המקרא	tnk1/ljon/jorj/xbj.html
חובת האדם מבני נוח	חובת האדם מבני נוח	מצוות_חובת	tryg/sug/xwbt_hadm_mbny_nwx.html
חובת האדם מישראל	חובת האדם מישראל	מצוות_חובת	tryg/sug/xwbt_hadm_myjral.html
חובת האישה מישראל	חובת האשה מישראל	מצוות_חובת	tryg/sug/xwbt_hajh_myjral.html
חובת הגבר מישראל	חובת הגבר מישראל	מצוות_חובת	tryg/sug/xwbt_hgbr_myjral.html
חובת הכוהן	חובת הכהן	מצוות_חובת	tryg/sug/xwbt_hkhn.html
חובת הכוהן גדול	חובת הכוהן הגדול	מצוות_חובת	tryg/sug/xwbt_hkh_g.html
חובת הלוי	חובת הלוי	מצוות_חובת	tryg/sug/xwbt_hlwy.html
חובת המלך	חובת המלך	מצוות_חובת	tryg/sug/xwbt_hmlk.html
חובת הנזיר	חובת הנזיר	מצוות_חובת	tryg/sug/xwbt_hnzir.html
חובת הציבור	חובת הציבור	מצוות_חובת	tryg/sug/xwbt_hcybwr.html
חובת השופט	חובת השופטים	מצוות_חובת	tryg/sug/xwbt_hjwpf.html
חוּג	מופשט	לשון_המקרא	tnk1/ljon/jorj/xwg.html
חוג ארץ	ביטוי: עצם בארץ	לשון_המקרא	tnk1/ljon/jorj/arc.html#bituy
חוג שמים	ביטוי: עצם בשמים	לשון_המקרא	tnk1/ljon/jorj/xwg.html#bituy
חוד	שורש [= ענינו דיבור סתום, רומז לדבר אחר, ונרדף למשל]	לשון_המקרא	tnk1/ljon/jorj/xwd.html
חודש01	תאריך	לשון_המקרא	tnk1/ljon/jorj/nsn.html
חודש02	תאריך	לשון_המקרא	tnk1/ljon/jorj/zyw.html
חודש03	תאריך	לשון_המקרא	tnk1/ljon/jorj/swn.html
